module	role	import
NumStability.Algorithms.GaussJordanPivoting	compatibility-shim	NumStability.Analysis.MatrixAlgebra
NumStability.Algorithms.GaussJordanPivoting	compatibility-shim	NumStability.Source.Higham.Chapter14.Algorithm04.Pivoting.GaussJordanPivoting
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	Mathlib.Algebra.BigOperators.Group.Finset.Basic
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	Mathlib.Algebra.BigOperators.Ring.Finset
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	Mathlib.Algebra.Order.BigOperators.Group.Finset
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	Mathlib.Data.Real.Basic
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	Mathlib.LinearAlgebra.Matrix.Orthogonal
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	Mathlib.Tactic.FieldSimp
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	Mathlib.Tactic.Linarith
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	Mathlib.Tactic.Ring
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.LinearSystems.Triangular.BackSubstitution
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.LinearSystems.Triangular.ForwardSubstitution
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.LU.GaussianElimination
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.LU.GrowthFactor
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.LU.LUSolve
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.MatMul
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.MatrixInversion.LUFactors.ErrorAnalysis.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.MatrixInversion.LUFactors.Methods.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.MatrixInversion.Residuals.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.MatrixInversion.Triangular.ErrorAnalysis.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.MatrixInversion.Triangular.Specifications.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.MatVec
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Algorithms.TestMatrices.UpperTriangularStress
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Analysis.Error.MatrixProducts.Contracts.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Analysis.Error.RoundingProducts.Core
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Analysis.ForwardError
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Analysis.MatrixNorms.HadamardDeterminant
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Analysis.Perturbation.LeastSquares.Wedin
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Analysis.Rounding
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.FloatingPoint.Model
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Equation34.DeterminantFromLU.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Equation35.HymanBlockFactorization.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Equation36.HymanDeterminant.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem03.ResidualComparison.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem04.ResidualCounterexample.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem05.InverseBasedSolve.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem07.OnesVector.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem08.ComplexInverseRealBlock.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem10.EntryPerturbation.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem11.HadamardCondition.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem12.HadamardExamples.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem13.GEJBound.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem14.HymanDeterminant.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Problem15.DeterminantPerturbation.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section01.InverseErrorAnalysis.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2B.MatrixInversion
NumStability.Algorithms.MatrixInversion	compatibility-shim(new)	NumStability.Source.Higham.Chapter14.Section03.LUFactorInversion.MethodD.MatrixInversion
NumStability.Algorithms.MatrixInversionMethod2BInstance	compatibility-shim	NumStability.Algorithms.Ch14Method2Loop
NumStability.Algorithms.MatrixInversionMethod2BInstance	compatibility-shim	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderModels
NumStability.Algorithms.MatrixInversionMethod2BInstance	compatibility-shim	NumStability.Algorithms.MatMul
NumStability.Algorithms.MatrixInversionMethod2BInstance	compatibility-shim	NumStability.Algorithms.MatrixInversion
NumStability.Algorithms.MatrixInversionMethod2BInstance	compatibility-shim	NumStability.Analysis.FirstOrder.FixedPrecision
NumStability.Algorithms.MatrixInversionMethod2BInstance	compatibility-shim	NumStability.Analysis.MatrixAlgebra
NumStability.Algorithms.MatrixInversionMethod2BInstance	compatibility-shim	NumStability.Analysis.MatrixNorms.EntrywiseMaximum
NumStability.Algorithms.MatrixInversionMethod2BInstance	compatibility-shim	NumStability.Source.Higham.Chapter13.Section01.OperationModels
NumStability.Algorithms.MatrixInversionMethod2BInstance	compatibility-shim	NumStability.Source.Higham.Chapter14.Section02.TriangularInversion.Method2B.MatrixInversionMethod2BInstance
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Algorithms.LinearSystems.GaussJordan.ErrorAnalysis.GaussJordan
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Algorithms.LU.GaussianElimination
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Analysis.FirstOrder.MatrixFamilies.AsymptoticFamilies
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEOperationalBridge
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Pivoting.GaussJordanPivoting
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.SecondStage.GaussJordanQConstruction
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary06.SPD.Closure
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEAsymptoticFamilies
NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEFinalDivisionClosure
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Algorithms.LinearSystems.LU.BlockLU.PositiveDefinite
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Algorithms.LU.GaussianElimination
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Source.Higham.Chapter07.Corollary06.LinearSystemsConditioning.Results
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Pivoting.GaussJordanPivoting
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary06.SPD.Closure
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary06.SPD.GaussJordanSPDCorollary
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary06.SPD.UniformInverseBridge
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.WeakFamily
NumStability.Source.Higham.Chapter14.Corollary06.FinalizedRunRegularity.UniformInverseRegularity	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Algorithms.LU.GaussianElimination
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Analysis.FirstOrder.MatrixFamilies.AsymptoticFamilies
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Analysis.PerturbationTheory
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Source.Higham.Chapter08.Lemma08.CorrectedCondition.RowDominance
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Execution.GJEFinalDivisionClosure
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.FinalDivisionStage.FinalizedErrorFamilies
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Pivoting.GaussJordanPivoting
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.SecondStage.GaussJordanQConstruction
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Closure
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Concrete
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.FinalDivisionFamilyClosure
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.WeakFamily
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints
NumStability.Source.Higham.Chapter14.Corollary07.FinalizedRunFamilies.ResidualAndForwardEnvelopes	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEAsymptoticFamilies
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Algorithms.LinearSystems.GaussJordan.ErrorAnalysis.GaussJordan
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Algorithms.LU.GaussianElimination
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Algorithms.LU.GrowthFactor
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Analysis.FirstOrder.MatrixFamilies.AsymptoticFamilies
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Analysis.PerturbationTheory
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter09.Section02
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.Pivoting.GaussJordanPivoting
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.SecondStage.GaussJordanQConstruction
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.SourceClosure
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.WeakFamily
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics
NumStability.Source.Higham.Chapter14.Corollary07.PrintedTraceFamilies.ResidualAndForwardEndpoints	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEAsymptoticFamilies
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	Mathlib.Algebra.BigOperators.Group.Finset.Basic
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	Mathlib.Algebra.BigOperators.Ring.Finset
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	Mathlib.Algebra.Order.BigOperators.Group.Finset
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	Mathlib.Data.Real.Basic
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	Mathlib.Tactic.FieldSimp
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	Mathlib.Tactic.Linarith
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	Mathlib.Tactic.Ring
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	NumStability.Algorithms.LinearSystems.GaussJordan.ErrorAnalysis.GaussJordan
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	NumStability.Algorithms.LU.GaussianElimination
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	NumStability.Analysis.PerturbationTheory
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	NumStability.Analysis.Rounding
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter08.Lemma08.CorrectedCondition.RowDominance
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter09.Section03
NumStability.Source.Higham.Chapter14.Corollary07.RowDominantCertificates.CumulativeProductBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter09.Section05
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.Algorithms.LU.GaussianElimination
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.Algorithms.LU.GrowthFactor
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.Analysis.PerturbationTheory
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.FloatingPoint.Model
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter08.Lemma08.CorrectedCondition.RowDominance
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Algorithm04.SecondStage.GaussJordanQConstruction
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Closure
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.Concrete
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Corollary07.DiagonalDominance.WeakFamily
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.EliminationFamilies.CoefficientAsymptotics
NumStability.Source.Higham.Chapter14.Corollary07.WeakDominanceFamilies.ResidualAndForwardBounds	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Theorem05.ForwardError.GJEAsymptoticFamilies
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFamilies.Derivations	canonical-destination(new)	NumStability.Analysis.MatrixNorms.EntrywiseMaximum
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFamilies.Derivations	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.Basic
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFamilies.Derivations	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.Families
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFamilies.Derivations	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFirstOrder.Derivations
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFirstOrder.Derivations	canonical-destination(new)	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderModels
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFirstOrder.Derivations	canonical-destination(new)	NumStability.Analysis.FirstOrder.FixedPrecision
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFirstOrder.Derivations	canonical-destination(new)	NumStability.Analysis.MatrixNorms.EntrywiseMaximum
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFirstOrder.Derivations	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.Basic
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockMethod2B.FirstOrderBound	canonical-destination(new)	NumStability.Algorithms.LinearSystems.LU.BlockLU.FirstOrderModels
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockMethod2B.FirstOrderBound	canonical-destination(new)	NumStability.Analysis.FirstOrder.FixedPrecision
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockMethod2B.FirstOrderBound	canonical-destination(new)	NumStability.Analysis.MatrixNorms.EntrywiseMaximum
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockMethod2B.FirstOrderBound	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.Basic
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockMethod2B.FirstOrderBound	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.Method2B
NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockMethod2B.FirstOrderBound	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem02.TriangularInversion.TwoBlockFirstOrder.Derivations
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	Mathlib.Algebra.BigOperators.Group.Finset.Basic
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	Mathlib.Algebra.BigOperators.Ring.Finset
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	Mathlib.Algebra.Order.BigOperators.Group.Finset
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	Mathlib.Data.Real.Basic
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	Mathlib.LinearAlgebra.Matrix.Orthogonal
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	Mathlib.Tactic.FieldSimp
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	Mathlib.Tactic.Linarith
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	Mathlib.Tactic.Ring
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	NumStability.Algorithms.TestMatrices.UpperTriangularStress
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem11.HadamardCondition.MatrixInversion
NumStability.Source.Higham.Chapter14.Problem12.ConditionNumberExamples.StressAndPeiMatrices	canonical-destination(new)	NumStability.Source.Higham.Chapter14.Problem12.HadamardExamples.MatrixInversion
NumStability.Source.Higham.Chapter14.Problem13	aggregate	NumStability.Source.Higham.Chapter14.Problem13.ConditionNumberBounds.UnitRowAndScalarCase
NumStability.Source.Higham.Chapter14.Problem13	aggregate	NumStability.Source.Higham.Chapter14.Problem13.GEJBound.MatrixInversion
NumStability.Source.Higham.Chapter14.Problem13.ConditionNumberBounds.UnitRowAndScalarCase	canonical-destination(new)	NumStability.Analysis.MatrixAlgebra
NumStability.Source.Higham.Chapter14.Problem13.ConditionNumberBounds.UnitRowAndScalarCase	canonical-destination(new)	NumStability.Analysis.SingularValues.Basic
NumStability.Source.Higham.Chapter14.Problem13.ConditionNumberBounds.UnitRowAndScalarCase	canonical-destination(new)	NumStability.Analysis.SingularValues.Realification
