declaration	historical_owner	destination_module	code	tier	disposition
NumStability.ginibreIncidenceLebesgueMeasure_map	NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge	NumStability.Algorithms.TestMatrices.Higham28GinibreGaussianBridge	S_GIN_FINEXP	source	retained
NumStability.ginibreIncidenceMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceMatrix_charpoly_factor	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceMatrix_has_eigenpair	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceNuisanceDerivative	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceRankPiece	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceRankPieceBelow	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedRankTransfer	S_GIN_SIGNED	source	relocated
NumStability.ginibreIncidenceRegularSet	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceRootRank	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceRootRank_eq_deflatedBelowCount	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedRankTransfer	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedRankTransfer	S_GIN_SIGNED	source	relocated
NumStability.ginibreIncidenceRootRank_lt_of_chart_eq	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	S_GIN_INC	source	retained
NumStability.ginibreIncidenceShear	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceShearInv	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceShear_mul_inv	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceTangentMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceTangentMatrix_eq	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceTopRight	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidenceTriangular	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidence_eq_of_chart_eq_of_eigenvalue_eq_of_regular	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreIncidence_inv_mul_matrix_mul_shear	NumStability.Algorithms.TestMatrices.Higham28GinibreIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibreIncidence	S_GIN_INC	source	relocated
NumStability.ginibreLastBasisVector	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreLastSpherePoint	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreLeadingBlock	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreLeftMixLinearMap	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreMatrixCoordinates	NumStability.Algorithms.TestMatrices.Higham28GinibreAtlas	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreAtlas	S_GIN_PLANES	source	relocated
NumStability.ginibreMatrixCoordinates_coordinatesMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibreAtlas	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreAtlas	S_GIN_PLANES	source	relocated
NumStability.ginibreMatrixSq	NumStability.Algorithms.TestMatrices.Higham28GinibreTraceDensity	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.ProbabilityLaw.GinibreTraceDensity	S_GIN_PROB	source	relocated
NumStability.ginibreMatrixSq_eq_traceless_add_trace	NumStability.Algorithms.TestMatrices.Higham28GinibreAbsoluteDetRecurrence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreAbsoluteDetRecurrence	S_GIN_FINEXP	source	relocated
NumStability.ginibreMatrixSq_orthogonal_conjugate	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreNuisanceBottomTopLinearEquiv	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreNuisanceColumnsLinearEquiv	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreNuisanceReorder	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	S_GIN_SIGNED	source	retained
NumStability.ginibreNuisanceReorder_apply	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedIncidence	S_GIN_SIGNED	source	retained
NumStability.ginibreOrderedGaussianKernelIntegrand	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedKernel	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedKernel	S_GIN_SIGNED	source	relocated
NumStability.ginibreOrderedGaussianKernelMoment	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedKernel	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedKernel	S_GIN_SIGNED	source	relocated
NumStability.ginibreOrderedGaussianKernelMoment_eq_sub_two_add_signedMoment	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedKernel	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedKernel	S_GIN_SIGNED	source	relocated
NumStability.ginibreOrderedGaussianKernelMoment_sub_eq	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedKernel	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedKernel	S_GIN_SIGNED	source	relocated
NumStability.ginibreOrderedGaussianRegion	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedGaussian	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedGaussian	S_GIN_SIGNED	source	relocated
NumStability.ginibreOrderedGaussianSignedIntegrand	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedGaussian	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedGaussian	S_GIN_SIGNED	source	relocated
NumStability.ginibreOrderedGaussianSignedIntegrand_rotation	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedGaussian	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedGaussian	S_GIN_SIGNED	source	relocated
NumStability.ginibreOrderedGaussianSignedMoment	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedGaussian	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedGaussian	S_GIN_SIGNED	source	relocated
NumStability.ginibreOrderedGaussianSignedMoment_eq	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedGaussian	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedGaussian	S_GIN_SIGNED	source	relocated
NumStability.ginibreOrderedGaussian_indicator_rotation	NumStability.Algorithms.TestMatrices.Higham28GinibreSignedGaussian	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.SignedIncidence.GinibreSignedGaussian	S_GIN_SIGNED	source	relocated
NumStability.ginibreOrthogonalBlockMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreOrthogonalBlockMatrix_charpoly	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreOrthogonalBlockMatrix_mulVec_last	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreOrthogonalBlockToNuisanceLinearMap	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreOrthogonalBlockToNuisanceLinearMap_eq_extract_conjugate	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreOrthogonalConjugate_charpoly	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreOrthogonalConjugate_mulVec_affine	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibreOrthogonalConjugate_mulVec_lastColumn	NumStability.Algorithms.TestMatrices.Higham28GinibreOrthogonalFiber	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibreOrthogonalFiber	S_GIN_PLANES	source	relocated
NumStability.ginibrePermutationFixedPoints	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.ginibrePermutationPairCoordinateFactor	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.ginibrePermutationPairCoordinateProduct	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.ginibrePermutationSignComplex	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.ginibrePermutationSignComplex_mul_self	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.ginibrePermutationSignReal	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.ginibrePermutationSignReal_mul_self	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.ginibrePermutationsFixing	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.ginibrePermutationsFixingFintype	NumStability.Algorithms.TestMatrices.Higham28GinibreCharacteristicProduct	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.FiniteExpectation.GinibreCharacteristicProduct	S_GIN_FINEXP	source	relocated
NumStability.ginibrePlaneActionDiscriminant	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneActionUpperRoot	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneActionUpperRoot_add_conj	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneActionUpperRoot_mul_conj	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneBottomRight	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneChartAction	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneChartBorelSpace	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneChartDeflatedBlock	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneChartDerivativeLinearMap	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneChartDerivativeLinearMap_det	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneChartIncidenceCoordinates	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneChartMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneChartMatrix_charpoly_factor	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneChartMatrix_chart_eq_incidence	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneChartMeasurableSpace	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneChartNuisanceDerivative	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneChartTopRight	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneDeflatedBlock	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlaneGraphBasis	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlaneIncidenceMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlaneIncidenceMatrix_charpoly_factor	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlaneIncidenceMatrix_mul_graphBasis	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlaneMatrixNormedAddCommGroup	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneMatrixNormedSpace	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	S_GIN_PLANES	source	retained
NumStability.ginibrePlanePolynomialEvalMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlanePolynomialEvalMatrix_block_apply	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneShear	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlaneShearInv	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlaneShear_inv_mul	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlaneShear_mul_inv	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlaneSylvesterBlockMatrix	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneSylvesterBridgeModule	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneSylvesterLinearMap	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneChart	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneChart	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneSylvesterLinearMap_det_complex_eq_characteristicProduct	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneSylvesterLinearMap_det_eq_charpoly_aeval	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneSylvesterOperator	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneSylvesterOperator_det_complex_eq_characteristicProduct	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneSylvesterOperator_det_eq_charpoly_aeval	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneSylvesterOperator_toMatrix_apply	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneSylvesterOperator_toMatrix_eq_reindex_block	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	S_GIN_PLANES	source	retained
NumStability.ginibrePlaneSylvesterPolynomialBlock	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneSylvesterPolynomialBlock_det	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlaneTopRight	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlaneTriangular	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlane_charpoly_aeval_fin_two	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlane_charpoly_aeval_map_complex_eq_product	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlane_charpoly_map_complex_factor	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlane_inv_mul_matrix_mul_shear	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneIncidence	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.Incidence.GinibrePlaneIncidence	S_GIN_INC	source	relocated
NumStability.ginibrePlane_map_aeval_charpoly_complex	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlane_stdBasis_repr_apply	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibrePlane_stdBasis_repr_apply_pair	NumStability.Algorithms.TestMatrices.Higham28GinibrePlaneSylvester	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.InvariantPlanes.GinibrePlaneSylvester	S_GIN_PLANES	source	relocated
NumStability.ginibreRegularFiberMultiplicity	NumStability.Algorithms.TestMatrices.Higham28GinibreMultiplicity	NumStability.Source.Higham.Chapter28.Section02.RealGinibre.RootMeasurability.GinibreMultiplicity	S_GIN_ROOT	source	relocated
NumStability.ginibreRegularFiberMultiplicity_eq_realEigenvalueCount	NumStability.Algorithms.TestMatrices.Higham28GinibreMultiplicity	NumStability.Algorithms.TestMatrices.Higham28GinibreMultiplicity	S_GIN_ROOT	source	retained
